STRING ID,DESCRIPTION,en_US,en_GB,fr,fr_CA,es,de,it,pt_PT,ru
MENU_RETURN_MAIN_QUESTION,,Return to Main Menu?,Return to Main Menu?,Retourner au menu principal?,Retourner au menu principal?,¿Volver al menu principal?,Zum Hauptmenü rückkehren?,,,
MENU_OPTIONS,,Options,Options,Options,Options,Opciones,Optionen,,,
MENU_OPTIONS_SOUND,,Sound Options,Sound Options,Options sonores,Options sonores,Opciones de sonido,Tonoptionen,,,
MENU_OPTIONS_VIDEO,,Video Options,Video Options,Options vidéo,Options vidéo,Opciones de video,Video-optionen,,,
MENU_OPTIONS_GAMEPLAY,,Gameplay Options,Gameplay Options,Options de jeu,Options de jeu,Opciones de juego,Gameplay-optionen,,,
MENU_OPTIONS_NETWORK,,Network Options,Network Options,Options de réseau,Options de réseau,Opciones de conexión,Netzwerkoptionen,,,
MENU_OPTIONS_DIFFICULTY,,Difficulty Options,Difficulty Options,Options de difficulté,Options de difficulté,Opciones de dificultad,Schwierigkeitsoptionen,,,
MENU_DIFFICULTY,,Difficulty,Difficulty,Difficulté,Difficulté,Dificultad,Schwierigkeit,,,
MENU_VERY_EASY,,Very Easy,Very Easy,Très facile,Très facile,Muy fácil,Sehr einfach,,,
MENU_EASY,,Easy,Easy,Facile,Facile,Facil,Einfach,,,
MENU_MEDIUM,,Medium,Medium,Moyen,Moyen,Intermedio,Mittel,,,
MENU_HARD,,Hard,Hard,Difficile,Difficile,Dificil,Schwer,,,
MENU_VERY_HARD,,Very Hard,Very Hard,Très difficile,Très difficile,Muy dificil,Sehr schwer,,,
MENU_INSANE,,Insane,Insane,Dément,Dément,Enfermizo,Verrückt,,,
MENU_IMPOSSIBLE,,Impossible,Impossible,Impossible,Impossible,Imposible,Unmöglich,,,
MENU_THANK_YOU,,Thank you!,Thank you!,Merci!,Merci!,¡Gracias!,Danke!,,,
MENU_GOODBYE,,Goodbye!,Goodbye!,Au revoir!,Bye!,¡Adios!,Tschüss!,,,
MENU_ARE_YOU_SURE,A generic confirmation,Are you sure?,Are you sure?,Êtes-vous certain?,Êtes-vous certain?,¿Está seguro?,Sind Sie sicher?,,,
MENU_SINGLE_PLAYER,,Single player,Single player,Solo,Solo,Solo,Einspieler,,,Одиночная игра
MENU_MULTIPLAYER,,Multiplayer,Multiplayer,Multijoueur,Multijoueur,Multijugador,Mehrspieler,,,
MENU_ONLINE_MULTIPLAYER,,Online Multiplayer,Online Multiplayer,Multijoueur en ligne,Multijoueur en ligne,Multijugador Online,,,,
MENU_LOCAL_MULTIPLAYER,,Local Multiplayer,Local Multiplayer,Multijoueur local,Multijoueur local,Multijugador Local,,,,
MENU_SPLITSCREEN,,Splitscreen,Splitscreen,Écran divisée,Écran divisée,Pantalla compartida,,,,
MENU_COOP,,Co-op,Co-op,Co-op,Co-op,Co-op,,,,Co-op
MENU_COOPERATIVE,,Cooperative,Cooperative,Coopérative,Coopérative,Cooperativo,,,,
MENU_VERSUS,,Versus,Versus,Versus,Versus,Enfrentado,,,,
MENU_DEATHMATCH,,Deathmatch,Deathmatch,Match à mort,Match à mort,Encuentro a muerte,,,,
